     순위     출발_동     도착_동      score
    753      홍제동       명동   1.000000
    754      성수동      대흥동   1.000000
    755      오륜동      오금동   1.000000
    756      용답동      삼성동   1.000000
    757      월곡동      서초동   1.000000
    758      사직동      이화동   1.000000
    759      서초동      개봉동   1.000000
    759      신정동     을지로동   1.000000
    761      대조동      천연동   1.000000
    762      사직동      신길동   1.000000
    763      인헌동      양재동   1.000000
    764      양평동      방화동   1.000000
    765      서초동      용신동   1.000000
    766      대치동      둔촌동   1.000000
    767      충현동      구의동   1.000000
    768      반포동      금호동   1.000000
    769      서초동      길음동   1.000000
    770      공릉동     여의도동   1.000000
    771      성수동      화곡동   1.000000
    771      한남동      광희동   1.000000
    773      하계동      도봉동   1.000000
    774      장지동      암사동   1.000000
    775      충현동      성수동   1.000000
    776      서초동      방화동   1.000000
    777      가양동      종로동   1.000000
    778      둔촌동      송파동   1.000000
    778      사근동      전농동   1.000000
    780      증산동      갈현동   1.000000
    781      길음동      잠실동   1.000000
    782      회현동      약수동   1.000000
    783      상봉동      중곡동   1.000000
    784      안암동      제기동   1.000000
    785      잠원동      양재동   1.000000
    786      삼성동      구로동   1.000000
    787       목동      서원동   1.000000
    788      행당동      삼성동   1.000000
    789      사당동      성수동   1.000000
    790      서교동      사근동   1.000000
    791      양평동      역삼동   1.000000
    792      소공동      청룡동   1.000000
    793     왕십리동      서초동   1.000000
    794     신도림동      대흥동   1.000000
    794      용강동      종로동   1.000000
    796      문래동      신정동   1.000000
    797      청룡동      소공동   1.000000
    798      서초동      서림동   1.000000
    799      사당동      이화동   1.000000
    800      전농동      서교동   1.000000
    801      사당동      화양동   1.000000
    802      종로동      성산동   1.000000
    803       명동      삼성동   1.000000
    804       명동      홍제동   1.000000
    805      구의동     왕십리동   1.000000
    806      전농동      공릉동   1.000000
    807       필동      장충동   1.000000
    808      종로동      보문동   1.000000
    809      회현동      서강동   1.000000
    810      잠실동       길동   1.000000
    811      흑석동      서초동   1.000000
    812      소공동      행당동   1.000000
    813      도봉동      중계동   1.000000
    814      삼선동      월곡동   1.000000
    815      약수동      회현동   1.000000
    816     압구정동       번동   1.000000
    817      도봉동      삼성동   1.000000
    818       필동      홍제동   1.000000
    819      성산동      종로동   1.000000
    820      상계동      장위동   1.000000
    821      신촌동      행당동   1.000000
    822      성수동      중곡동   1.000000
    823      구의동     압구정동   1.000000
    824      잠실동      등촌동   1.000000
    825     여의도동      상도동   1.000000
    826      사당동      서원동   1.000000
    827      잠실동      길음동   1.000000
    828     압구정동     한강로동   1.000000
    829      반포동       창동   1.000000
    830      금호동      반포동   1.000000
    831      옥수동      반포동   1.000000
    832      신길동      충현동   1.000000
    833      녹번동      대치동   1.000000
    834       명동     영등포동   1.000000
    835      송천동      성수동   1.000000
    836      화양동      청룡동   1.000000
