출발_동,도착_동,지하철_승객수,버스_승객수,택시_승객수,클러스터,label,score
공릉동,공덕동,115542,0,24038.61804,70,1.0,0.9999999999484894
공릉동,공릉동,296346,2580638,373.0,79,1.0,1.0
공릉동,공항동,3173,0,22876.743,43,,0.17654260634176588
공릉동,광장동,31173,0,23166.25791,8,,0.9913938464568087
공릉동,광희동,50269,10947,23632.25849,1,,0.9999711582527335
공릉동,구로동,52411,9,23386.07576,5,,0.9999263546154495
공릉동,구의동,119557,0,24080.13241,70,1.0,0.9999999999790878
공릉동,군자동,0,1941,22891.5513,53,,0.11913455052032315
공릉동,금호동,22137,0,23072.82732,13,,0.9380725612626978
공릉동,길동,13659,0,22985.16634,20,,0.6930412460689235
공릉동,길음동,10351,0,22950.96222,26,,0.5179076215199078
공릉동,남가좌동,4135,0,22886.68991,40,,0.2101601234619676
공릉동,남영동,23699,416,23099.18341,12,,0.9578118150622246
공릉동,남현동,44777,0,23306.9208,3,,0.9995908486264293
공릉동,내곡동,3700,0,22882.19209,41,,0.19440663602406721
공릉동,노량진동,16139,0,23010.80909,18,,0.7975720011387877
공릉동,녹번동,12714,0,22975.39521,22,1.0,0.646160366418331
공릉동,논현동,440919,0,27402.95706,77,1.0,1.0
공릉동,능동,259597,0,25528.12055,75,1.0,1.0
공릉동,다산동,0,148,22847.56549,61,0.0,0.0968117999572999
공릉동,답십리동,0,583,22858.2369,58,0.0,0.10185762432947025
공릉동,당산동,49879,0,23359.67455,4,,0.9998698277152358
공릉동,대림동,17767,0,23027.64231,16,,0.8502684126986589
공릉동,대방동,31657,0,23171.26239,8,,0.9922731910240155
공릉동,대조동,12993,0,22978.28002,21,,0.6603479628161462
공릉동,대치동,169719,78,24600.71186,73,1.0,0.9999999999999998
공릉동,대학동,810,0,22852.31001,53,,0.11199806276371221
공릉동,대흥동,66928,0,23535.95811,13,,0.999997167583842
공릉동,도곡동,59275,0,23456.82749,8,,0.999984210024633
공릉동,도봉동,191358,15483,25202.37008,73,1.0,1.0
공릉동,독산동,7880,0,22925.41253,30,,0.38151331822786266
공릉동,동화동,36805,0,23224.49177,5,,0.9975546919367256
공릉동,둔촌동,26361,0,23116.50271,10,,0.9750652029312945
공릉동,등촌동,11462,0,22962.44976,24,,0.5795932350733376
공릉동,마장동,11015,0,22957.82786,25,,0.5549627445058154
공릉동,마천동,9051,0,22937.52046,28,,0.44516741961048745
공릉동,망우동,40677,20686,23771.99574,0,,0.9999297217005407
공릉동,면목동,354953,75086,28356.09126,77,1.0,1.0
공릉동,명동,122026,7370,24286.46199,70,1.0,0.9999999999953806
공릉동,명일동,23798,0,23090.00175,12,,0.9565113674286861
공릉동,목동,41094,0,23268.83925,4,,0.9990650721346078
공릉동,묵동,100801,594410,38468.24316,77,1.0,1.0
공릉동,문래동,23298,0,23084.83185,12,,0.9515948272947077
공릉동,문정동,40198,56,23260.94856,4,,0.9988652381141677
공릉동,미아동,15237,0,23001.48257,18,,0.7629045351172896
공릉동,반포동,225352,182,25178.49829,74,,1.0
공릉동,발산동,6465,0,22910.78169,33,,0.30984866263308347
공릉동,방배동,64000,71,23507.4249,11,,0.9999945842166292
공릉동,방이동,20472,0,23055.61152,14,,0.9124590657971235
공릉동,방학동,31482,3216,23248.34771,5,,0.9946911249016533
공릉동,방화동,41385,0,23271.84814,4,,0.9991241516660065
공릉동,번동,39936,0,23256.86574,4,,0.9987878063095307
공릉동,보라매동,1382,0,22858.22439,50,,0.12542101409917697
공릉동,보문동,160236,0,24500.74587,72,1.0,0.9999999999999978
공릉동,북성동,631,0,22850.45919,55,,0.10806295448253356
공릉동,불광동,1959,0,22864.19047,47,,0.14033409153126722
공릉동,사근동,33934,0,23194.80615,7,,0.9953514312079176
공릉동,사당동,69656,74,23565.9805,15,,0.9999984794951184
공릉동,사직동,141370,0,24305.67486,71,,0.9999999999998439
공릉동,삼선동,60358,0,23468.02551,9,,0.9999876182626941
공릉동,삼성동,225406,21249,25695.87151,74,,1.0
공릉동,삼양동,34840,0,23204.17403,6,,0.9962038041328657
공릉동,상계동,1328411,463164,47941.78531,79,1.0,1.0
공릉동,상도동,72803,0,23596.70455,17,,0.99999924264853
공릉동,상봉동,243937,8546,25575.84915,75,1.0,1.0
공릉동,상암동,60601,0,23470.53808,9,,0.999988275687492
공릉동,상일동,8801,0,22934.9355,29,,0.4313497830675253
공릉동,서강동,89345,0,23767.74582,59,,0.9999999815363455
공릉동,서교동,222074,0,25140.13955,74,,1.0
공릉동,서림동,4181,0,22887.16554,40,,0.2118796228179318
공릉동,서빙고동,2055,0,22865.18309,47,,0.14295458902000324
공릉동,서원동,13287,0,22981.31993,20,,0.674992730259188
공릉동,서초동,230485,1567,25265.54935,74,,1.0
공릉동,석관동,170446,14462,24961.09667,73,1.0,1.0
공릉동,석촌동,13546,52,22985.2736,20,,0.6890643042868736
공릉동,성내동,120860,0,24093.60519,70,1.0,0.999999999984392
공릉동,성산동,42879,0,23287.29583,3,,0.999373587934477
공릉동,성수동,216265,19916,25568.65413,74,,1.0
공릉동,소공동,94224,3434,23902.43655,68,,0.9999999960447001
공릉동,송정동,0,8549,23053.65852,41,,0.2416331948902574
공릉동,송천동,16001,0,23009.38219,18,,0.7925234829489278
공릉동,송파동,381,0,22847.87423,57,0.0,0.10277064178882486
공릉동,수궁동,8989,0,22936.87939,28,,0.44173187706728967
공릉동,수색동,921,0,22853.45773,53,,0.11450071977454201
공릉동,수서동,30590,0,23160.2298,8,,0.9902020782364432
공릉동,수유동,19007,0,23040.46369,15,,0.8823748058401302
공릉동,숭인동,124473,6537,24291.3284,70,1.0,0.999999999997029
공릉동,시흥동,4717,0,22892.70768,38,,0.23267115162581212
공릉동,신길동,26807,0,23121.11427,10,,0.9773874115888069
공릉동,신내동,136083,132792,27508.65673,72,1.0,1.0
공릉동,신당동,128198,541,24182.75057,70,1.0,0.9999999999971987
